"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","aidesdepartementales.lot.fr/149.202.177.154","443","INFO","HTTP","",""
"pre_128cipher","aidesdepartementales.lot.fr/149.202.177.154","443","INFO","No 128 cipher limit bug","",""
"SSLv2","aidesdepartementales.lot.fr/149.202.177.154","443","OK","not offered","",""
"SSLv3","aidesdepartementales.lot.fr/149.202.177.154","443","OK","not offered","",""
"TLS1","aidesdepartementales.lot.fr/149.202.177.154","443","INFO","not offered","",""
"TLS1_1","aidesdepartementales.lot.fr/149.202.177.154","443","INFO","not offered","",""
"TLS1_2","aidesdepartementales.lot.fr/149.202.177.154","443","OK","offered","",""
"TLS1_3","aidesdepartementales.lot.fr/149.202.177.154","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","aidesdepartementales.lot.fr/149.202.177.154","443","INFO","not offered","",""
"cipherlist_NULL","aidesdepartementales.lot.fr/149.202.177.154","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","aidesdepartementales.lot.fr/149.202.177.154","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","aidesdepartementales.lot.fr/149.202.177.154","443","OK","not offered","","CWE-327"
"cipherlist_LOW","aidesdepartementales.lot.fr/149.202.177.154","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","aidesdepartementales.lot.fr/149.202.177.154","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","aidesdepartementales.lot.fr/149.202.177.154","443","INFO","not offered","","CWE-310"
"cipherlist_GOOD","aidesdepartementales.lot.fr/149.202.177.154","443","INFO","not offered","",""
"cipherlist_STRONG","aidesdepartementales.lot.fr/149.202.177.154","443","OK","offered","",""
"cipherorder_TLSv1_2","aidesdepartementales.lot.fr/149.202.177.154","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","aidesdepartementales.lot.fr/149.202.177.154","443","OK","server","",""
"protocol_negotiated","aidesdepartementales.lot.fr/149.202.177.154","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","aidesdepartementales.lot.fr/149.202.177.154","443","OK","ECDHE-RSA-AES128-GCM-SHA256, 256 bit ECDH (P-256)","",""
"FS","aidesdepartementales.lot.fr/149.202.177.154","443","OK","offered","",""
"FS_ciphers","aidesdepartementales.lot.fr/149.202.177.154","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","aidesdepartementales.lot.fr/149.202.177.154","443","OK","prime256v1","",""
"TLS_extensions","aidesdepartementales.lot.fr/149.202.177.154","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'extended master secret/#23'","",""
"TLS_session_ticket","aidesdepartementales.lot.fr/149.202.177.154","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","aidesdepartementales.lot.fr/149.202.177.154","443","INFO","yes","",""
"sessionresumption_ticket","aidesdepartementales.lot.fr/149.202.177.154","443","INFO","not supported","",""
"sessionresumption_ID","aidesdepartementales.lot.fr/149.202.177.154","443","INFO","supported","",""
"TLS_timestamp","aidesdepartementales.lot.fr/149.202.177.154","443","INFO","random","",""
"cert_compression","aidesdepartementales.lot.fr/149.202.177.154","443","INFO","N/A","",""
"clientAuth","aidesdepartementales.lot.fr/149.202.177.154","443","INFO","none","",""
