"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","aideseco.mgcloud.fr/149.202.180.217","443","INFO","HTTP","",""
"pre_128cipher","aideseco.mgcloud.fr/149.202.180.217","443","INFO","No 128 cipher limit bug","",""
"SSLv2","aideseco.mgcloud.fr/149.202.180.217","443","OK","not offered","",""
"SSLv3","aideseco.mgcloud.fr/149.202.180.217","443","OK","not offered","",""
"TLS1","aideseco.mgcloud.fr/149.202.180.217","443","INFO","not offered","",""
"TLS1_1","aideseco.mgcloud.fr/149.202.180.217","443","INFO","not offered","",""
"TLS1_2","aideseco.mgcloud.fr/149.202.180.217","443","OK","offered","",""
"TLS1_3","aideseco.mgcloud.fr/149.202.180.217","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","aideseco.mgcloud.fr/149.202.180.217","443","INFO","not offered","",""
"cipherlist_NULL","aideseco.mgcloud.fr/149.202.180.217","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","aideseco.mgcloud.fr/149.202.180.217","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","aideseco.mgcloud.fr/149.202.180.217","443","OK","not offered","","CWE-327"
"cipherlist_LOW","aideseco.mgcloud.fr/149.202.180.217","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","aideseco.mgcloud.fr/149.202.180.217","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","aideseco.mgcloud.fr/149.202.180.217","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","aideseco.mgcloud.fr/149.202.180.217","443","INFO","not offered","",""
"cipherlist_STRONG_FS","aideseco.mgcloud.fr/149.202.180.217","443","OK","offered","",""
"cipher_order-tls1_2","aideseco.mgcloud.fr/149.202.180.217","443","OK","server","",""
"cipherorder_TLSv1_2","aideseco.mgcloud.fr/149.202.180.217","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","aideseco.mgcloud.fr/149.202.180.217","443","OK","server","",""
"FS","aideseco.mgcloud.fr/149.202.180.217","443","OK","offered","",""
"FS_ciphers","aideseco.mgcloud.fr/149.202.180.217","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","aideseco.mgcloud.fr/149.202.180.217","443","OK","prime256v1","",""
"TLS_extensions","aideseco.mgcloud.fr/149.202.180.217","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'extended master secret/#23'","",""
"TLS_session_ticket","aideseco.mgcloud.fr/149.202.180.217","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","aideseco.mgcloud.fr/149.202.180.217","443","INFO","yes","",""
"sessionresumption_ticket","aideseco.mgcloud.fr/149.202.180.217","443","INFO","not supported","",""
"sessionresumption_ID","aideseco.mgcloud.fr/149.202.180.217","443","INFO","supported","",""
"TLS_timestamp","aideseco.mgcloud.fr/149.202.180.217","443","INFO","random","",""
"cert_compression","aideseco.mgcloud.fr/149.202.180.217","443","INFO","N/A","",""
"clientAuth","aideseco.mgcloud.fr/149.202.180.217","443","INFO","none","",""
"cert_numbers","aideseco.mgcloud.fr/149.202.180.217","443","INFO","1","",""
"cert_signatureAlgorithm","aideseco.mgcloud.fr/149.202.180.217","443","OK","SHA256 with RSA","",""
"cert_keySize","aideseco.mgcloud.fr/149.202.180.217","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","aideseco.mgcloud.fr/149.202.180.217","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","aideseco.mgcloud.fr/149.202.180.217","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","aideseco.mgcloud.fr/149.202.180.217","443","INFO","FC7DBF68260D5EC2140B4C19B9248462","",""
"cert_serialNumberLen","aideseco.mgcloud.fr/149.202.180.217","443","INFO","16","",""
