"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","aides.cud.fr/149.202.177.167","443","INFO","HTTP","",""
"pre_128cipher","aides.cud.fr/149.202.177.167","443","INFO","No 128 cipher limit bug","",""
"SSLv2","aides.cud.fr/149.202.177.167","443","OK","not offered","",""
"SSLv3","aides.cud.fr/149.202.177.167","443","OK","not offered","",""
"TLS1","aides.cud.fr/149.202.177.167","443","LOW","offered (deprecated)","",""
"TLS1_1","aides.cud.fr/149.202.177.167","443","LOW","offered (deprecated)","",""
"TLS1_2","aides.cud.fr/149.202.177.167","443","OK","offered","",""
"TLS1_3","aides.cud.fr/149.202.177.167","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","aides.cud.fr/149.202.177.167","443","INFO","not offered","",""
"cipherlist_NULL","aides.cud.fr/149.202.177.167","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","aides.cud.fr/149.202.177.167","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","aides.cud.fr/149.202.177.167","443","OK","not offered","","CWE-327"
"cipherlist_LOW","aides.cud.fr/149.202.177.167","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","aides.cud.fr/149.202.177.167","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","aides.cud.fr/149.202.177.167","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","aides.cud.fr/149.202.177.167","443","OK","offered","",""
"cipherlist_STRONG","aides.cud.fr/149.202.177.167","443","OK","offered","",""
"cipherorder_TLSv1","aides.cud.fr/149.202.177.167","443","INFO","ECDHE-RSA-AES128-SHA","",""
"cipherorder_TLSv1_1","aides.cud.fr/149.202.177.167","443","INFO","ECDHE-RSA-AES128-SHA","",""
"cipherorder_TLSv1_2","aides.cud.fr/149.202.177.167","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","aides.cud.fr/149.202.177.167","443","OK","server","",""
"protocol_negotiated","aides.cud.fr/149.202.177.167","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","aides.cud.fr/149.202.177.167","443","OK","ECDHE-RSA-AES128-GCM-SHA256, 256 bit ECDH (P-256)","",""
"FS","aides.cud.fr/149.202.177.167","443","OK","offered","",""
"FS_ciphers","aides.cud.fr/149.202.177.167","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256 DHE-RSA-AES128-SHA DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 DHE-RSA-AES256-SHA DHE-RSA-CAMELLIA128-SHA256 DHE-RSA-CAMELLIA128-SHA DHE-RSA-CAMELLIA256-SHA256 DHE-RSA-CAMELLIA256-SHA ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA ECDHE-RSA-CAMELLIA128-SHA256 ECDHE-RSA-CAMELLIA256-SHA384","",""
"FS_ECDHE_curves","aides.cud.fr/149.202.177.167","443","OK","prime256v1","",""
"TLS_extensions","aides.cud.fr/149.202.177.167","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","aides.cud.fr/149.202.177.167","443","INFO","valid for 7200 seconds only (<daily)","",""
"SSL_sessionID_support","aides.cud.fr/149.202.177.167","443","INFO","yes","",""
"sessionresumption_ticket","aides.cud.fr/149.202.177.167","443","INFO","supported","",""
"sessionresumption_ID","aides.cud.fr/149.202.177.167","443","INFO","supported","",""
"TLS_timestamp","aides.cud.fr/149.202.177.167","443","INFO","random","",""
"cert_compression","aides.cud.fr/149.202.177.167","443","INFO","N/A","",""
"clientAuth","aides.cud.fr/149.202.177.167","443","INFO","none","",""
"cert_numbers","aides.cud.fr/149.202.177.167","443","INFO","1","",""
"cert_signatureAlgorithm","aides.cud.fr/149.202.177.167","443","OK","SHA256 with RSA","",""
"cert_keySize","aides.cud.fr/149.202.177.167","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","aides.cud.fr/149.202.177.167","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","aides.cud.fr/149.202.177.167","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","aides.cud.fr/149.202.177.167","443","INFO","F9C95A7FA2087DBBFD0F9C14F41E6DC5","",""
"cert_serialNumberLen","aides.cud.fr/149.202.177.167","443","INFO","16","",""
"cert_fingerprintSHA1","aides.cud.fr/149.202.177.167","443","INFO","065B73EC6B61C8E07FA93162ECB32C713C6FA77C","",""
