"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","fondscommerce.anct.gouv.fr/149.202.175.95","443","INFO","HTTP","",""
"pre_128cipher","fondscommerce.anct.gouv.fr/149.202.175.95","443","INFO","No 128 cipher limit bug","",""
"SSLv2","fondscommerce.anct.gouv.fr/149.202.175.95","443","OK","not offered","",""
"SSLv3","fondscommerce.anct.gouv.fr/149.202.175.95","443","OK","not offered","",""
"TLS1","fondscommerce.anct.gouv.fr/149.202.175.95","443","INFO","not offered","",""
"TLS1_1","fondscommerce.anct.gouv.fr/149.202.175.95","443","INFO","not offered","",""
"TLS1_2","fondscommerce.anct.gouv.fr/149.202.175.95","443","OK","offered","",""
"TLS1_3","fondscommerce.anct.gouv.fr/149.202.175.95","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","fondscommerce.anct.gouv.fr/149.202.175.95","443","INFO","not offered","",""
"cipherlist_NULL","fondscommerce.anct.gouv.fr/149.202.175.95","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","fondscommerce.anct.gouv.fr/149.202.175.95","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","fondscommerce.anct.gouv.fr/149.202.175.95","443","OK","not offered","","CWE-327"
"cipherlist_LOW","fondscommerce.anct.gouv.fr/149.202.175.95","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","fondscommerce.anct.gouv.fr/149.202.175.95","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","fondscommerce.anct.gouv.fr/149.202.175.95","443","INFO","not offered","","CWE-310"
"cipherlist_GOOD","fondscommerce.anct.gouv.fr/149.202.175.95","443","INFO","not offered","",""
"cipherlist_STRONG","fondscommerce.anct.gouv.fr/149.202.175.95","443","OK","offered","",""
"cipherorder_TLSv1_2","fondscommerce.anct.gouv.fr/149.202.175.95","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","fondscommerce.anct.gouv.fr/149.202.175.95","443","OK","server","",""
"protocol_negotiated","fondscommerce.anct.gouv.fr/149.202.175.95","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","fondscommerce.anct.gouv.fr/149.202.175.95","443","OK","ECDHE-RSA-AES128-GCM-SHA256, 256 bit ECDH (P-256)","",""
"FS","fondscommerce.anct.gouv.fr/149.202.175.95","443","OK","offered","",""
"FS_ciphers","fondscommerce.anct.gouv.fr/149.202.175.95","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","fondscommerce.anct.gouv.fr/149.202.175.95","443","OK","prime256v1","",""
"TLS_extensions","fondscommerce.anct.gouv.fr/149.202.175.95","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'extended master secret/#23'","",""
"TLS_session_ticket","fondscommerce.anct.gouv.fr/149.202.175.95","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","fondscommerce.anct.gouv.fr/149.202.175.95","443","INFO","yes","",""
"sessionresumption_ticket","fondscommerce.anct.gouv.fr/149.202.175.95","443","INFO","not supported","",""
"sessionresumption_ID","fondscommerce.anct.gouv.fr/149.202.175.95","443","INFO","supported","",""
"TLS_timestamp","fondscommerce.anct.gouv.fr/149.202.175.95","443","INFO","random","",""
"cert_compression","fondscommerce.anct.gouv.fr/149.202.175.95","443","INFO","N/A","",""
"clientAuth","fondscommerce.anct.gouv.fr/149.202.175.95","443","INFO","none","",""
"cert_numbers","fondscommerce.anct.gouv.fr/149.202.175.95","443","INFO","1","",""
"cert_signatureAlgorithm","fondscommerce.anct.gouv.fr/149.202.175.95","443","OK","SHA256 with RSA","",""
"cert_keySize","fondscommerce.anct.gouv.fr/149.202.175.95","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","fondscommerce.anct.gouv.fr/149.202.175.95","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","fondscommerce.anct.gouv.fr/149.202.175.95","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","fondscommerce.anct.gouv.fr/149.202.175.95","443","INFO","094E960A87E8183FC9F6C525CB096286","",""
"cert_serialNumberLen","fondscommerce.anct.gouv.fr/149.202.175.95","443","INFO","16","",""
"cert_fingerprintSHA1","fondscommerce.anct.gouv.fr/149.202.175.95","443","INFO","8A8FE070158DB9B81234815B719882D30C0A5054","",""
"cert_fingerprintSHA256","fondscommerce.anct.gouv.fr/149.202.175.95","443","INFO","B8941F4DD3D0DC99E3278BD089A06D8477E604E79D773E7787219830E78363DE","",""
