"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","monespace-aides.normandie.fr/194.214.7.135","443","INFO","HTTP","",""
"pre_128cipher","monespace-aides.normandie.fr/194.214.7.135","443","INFO","No 128 cipher limit bug","",""
"SSLv2","monespace-aides.normandie.fr/194.214.7.135","443","OK","not offered","",""
"SSLv3","monespace-aides.normandie.fr/194.214.7.135","443","OK","not offered","",""
"TLS1","monespace-aides.normandie.fr/194.214.7.135","443","INFO","not offered","",""
"TLS1_1","monespace-aides.normandie.fr/194.214.7.135","443","INFO","not offered","",""
"TLS1_2","monespace-aides.normandie.fr/194.214.7.135","443","OK","offered","",""
"TLS1_3","monespace-aides.normandie.fr/194.214.7.135","443","OK","offered with final","",""
"ALPN","monespace-aides.normandie.fr/194.214.7.135","443","INFO","http/1.1","",""
"cipherlist_NULL","monespace-aides.normandie.fr/194.214.7.135","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","monespace-aides.normandie.fr/194.214.7.135","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","monespace-aides.normandie.fr/194.214.7.135","443","OK","not offered","","CWE-327"
"cipherlist_LOW","monespace-aides.normandie.fr/194.214.7.135","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","monespace-aides.normandie.fr/194.214.7.135","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","monespace-aides.normandie.fr/194.214.7.135","443","INFO","not offered","","CWE-310"
"cipherlist_GOOD","monespace-aides.normandie.fr/194.214.7.135","443","INFO","not offered","",""
"cipherlist_STRONG","monespace-aides.normandie.fr/194.214.7.135","443","OK","offered","",""
"cipherorder_TLSv1_2","monespace-aides.normandie.fr/194.214.7.135","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","monespace-aides.normandie.fr/194.214.7.135","443","OK","server","",""
"protocol_negotiated","monespace-aides.normandie.fr/194.214.7.135","443","OK","Default protocol TLS1.3","",""
"cipher_negotiated","monespace-aides.normandie.fr/194.214.7.135","443","OK","TLS_AES_256_GCM_SHA384, 253 bit ECDH (X25519)","",""
"FS","monespace-aides.normandie.fr/194.214.7.135","443","OK","offered","",""
"FS_ciphers","monespace-aides.normandie.fr/194.214.7.135","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","monespace-aides.normandie.fr/194.214.7.135","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","monespace-aides.normandie.fr/194.214.7.135","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","monespace-aides.normandie.fr/194.214.7.135","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","monespace-aides.normandie.fr/194.214.7.135","443","INFO","yes","",""
"sessionresumption_ticket","monespace-aides.normandie.fr/194.214.7.135","443","INFO","supported","",""
"sessionresumption_ID","monespace-aides.normandie.fr/194.214.7.135","443","INFO","supported","",""
"TLS_timestamp","monespace-aides.normandie.fr/194.214.7.135","443","INFO","random","",""
"certificate_compression","monespace-aides.normandie.fr/194.214.7.135","443","INFO","none","",""
"clientAuth","monespace-aides.normandie.fr/194.214.7.135","443","INFO","none","",""
"cert_numbers","monespace-aides.normandie.fr/194.214.7.135","443","INFO","1","",""
"cert_signatureAlgorithm","monespace-aides.normandie.fr/194.214.7.135","443","OK","SHA384 with RSA","",""
"cert_keySize","monespace-aides.normandie.fr/194.214.7.135","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","monespace-aides.normandie.fr/194.214.7.135","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","monespace-aides.normandie.fr/194.214.7.135","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","monespace-aides.normandie.fr/194.214.7.135","443","INFO","1F8271765794CC57CA18D30F8BEBC050","",""
"cert_serialNumberLen","monespace-aides.normandie.fr/194.214.7.135","443","INFO","16","",""
"cert_fingerprintSHA1","monespace-aides.normandie.fr/194.214.7.135","443","INFO","64EDC0B2D5FF7F0EFE3109A022262D9A02ABA076","",""
"cert_fingerprintSHA256","monespace-aides.normandie.fr/194.214.7.135","443","INFO","7A01BD47B25C18CC61611E04CB7FB52E0A6A3B3AA8A283BDDA14A347078B5DFD","",""
