"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","portaildesaides.mairie-saintpaul.fr/51.210.190.57","443","INFO","HTTP","",""
"pre_128cipher","portaildesaides.mairie-saintpaul.fr/51.210.190.57","443","INFO","No 128 cipher limit bug","",""
"SSLv2","portaildesaides.mairie-saintpaul.fr/51.210.190.57","443","OK","not offered","",""
"SSLv3","portaildesaides.mairie-saintpaul.fr/51.210.190.57","443","OK","not offered","",""
"TLS1","portaildesaides.mairie-saintpaul.fr/51.210.190.57","443","INFO","not offered","",""
"TLS1_1","portaildesaides.mairie-saintpaul.fr/51.210.190.57","443","INFO","not offered","",""
"TLS1_2","portaildesaides.mairie-saintpaul.fr/51.210.190.57","443","OK","offered","",""
"TLS1_3","portaildesaides.mairie-saintpaul.fr/51.210.190.57","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","portaildesaides.mairie-saintpaul.fr/51.210.190.57","443","INFO","not offered","",""
"cipherlist_NULL","portaildesaides.mairie-saintpaul.fr/51.210.190.57","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","portaildesaides.mairie-saintpaul.fr/51.210.190.57","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","portaildesaides.mairie-saintpaul.fr/51.210.190.57","443","OK","not offered","","CWE-327"
"cipherlist_LOW","portaildesaides.mairie-saintpaul.fr/51.210.190.57","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","portaildesaides.mairie-saintpaul.fr/51.210.190.57","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","portaildesaides.mairie-saintpaul.fr/51.210.190.57","443","INFO","not offered","","CWE-310"
"cipherlist_GOOD","portaildesaides.mairie-saintpaul.fr/51.210.190.57","443","INFO","not offered","",""
"cipherlist_STRONG","portaildesaides.mairie-saintpaul.fr/51.210.190.57","443","OK","offered","",""
"cipherorder_TLSv1_2","portaildesaides.mairie-saintpaul.fr/51.210.190.57","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","portaildesaides.mairie-saintpaul.fr/51.210.190.57","443","OK","server","",""
"protocol_negotiated","portaildesaides.mairie-saintpaul.fr/51.210.190.57","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","portaildesaides.mairie-saintpaul.fr/51.210.190.57","443","OK","ECDHE-RSA-AES128-GCM-SHA256, 256 bit ECDH (P-256)","",""
"FS","portaildesaides.mairie-saintpaul.fr/51.210.190.57","443","OK","offered","",""
"FS_ciphers","portaildesaides.mairie-saintpaul.fr/51.210.190.57","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","portaildesaides.mairie-saintpaul.fr/51.210.190.57","443","OK","prime256v1","",""
"TLS_extensions","portaildesaides.mairie-saintpaul.fr/51.210.190.57","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'extended master secret/#23'","",""
"TLS_session_ticket","portaildesaides.mairie-saintpaul.fr/51.210.190.57","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","portaildesaides.mairie-saintpaul.fr/51.210.190.57","443","INFO","yes","",""
"sessionresumption_ticket","portaildesaides.mairie-saintpaul.fr/51.210.190.57","443","INFO","not supported","",""
"sessionresumption_ID","portaildesaides.mairie-saintpaul.fr/51.210.190.57","443","INFO","supported","",""
"TLS_timestamp","portaildesaides.mairie-saintpaul.fr/51.210.190.57","443","INFO","random","",""
"cert_compression","portaildesaides.mairie-saintpaul.fr/51.210.190.57","443","INFO","N/A","",""
"clientAuth","portaildesaides.mairie-saintpaul.fr/51.210.190.57","443","INFO","none","",""
"cert_numbers","portaildesaides.mairie-saintpaul.fr/51.210.190.57","443","INFO","1","",""
"cert_signatureAlgorithm","portaildesaides.mairie-saintpaul.fr/51.210.190.57","443","OK","SHA256 with RSA","",""
"cert_keySize","portaildesaides.mairie-saintpaul.fr/51.210.190.57","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","portaildesaides.mairie-saintpaul.fr/51.210.190.57","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","portaildesaides.mairie-saintpaul.fr/51.210.190.57","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","portaildesaides.mairie-saintpaul.fr/51.210.190.57","443","INFO","0858A007B59B8E46A74166BFE4F2599F","",""
"cert_serialNumberLen","portaildesaides.mairie-saintpaul.fr/51.210.190.57","443","INFO","16","",""
"cert_fingerprintSHA1","portaildesaides.mairie-saintpaul.fr/51.210.190.57","443","INFO","9D58C24765C35C8CA46955A6CE21FDA1C9D2859D","",""
"cert_fingerprintSHA256","portaildesaides.mairie-saintpaul.fr/51.210.190.57","443","INFO","689C426827C35D5FE366CA9CAC739B6FFDBAE4610D8C7648CF373EC8E84B8535","",""
