"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","subventions.fipd.interieur.gouv.fr/149.202.161.196","443","INFO","HTTP","",""
"pre_128cipher","subventions.fipd.interieur.gouv.fr/149.202.161.196","443","INFO","No 128 cipher limit bug","",""
"SSLv2","subventions.fipd.interieur.gouv.fr/149.202.161.196","443","OK","not offered","",""
"SSLv3","subventions.fipd.interieur.gouv.fr/149.202.161.196","443","OK","not offered","",""
"TLS1","subventions.fipd.interieur.gouv.fr/149.202.161.196","443","INFO","not offered","",""
"TLS1_1","subventions.fipd.interieur.gouv.fr/149.202.161.196","443","INFO","not offered","",""
"TLS1_2","subventions.fipd.interieur.gouv.fr/149.202.161.196","443","OK","offered","",""
"TLS1_3","subventions.fipd.interieur.gouv.fr/149.202.161.196","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","subventions.fipd.interieur.gouv.fr/149.202.161.196","443","INFO","not offered","",""
"cipherlist_NULL","subventions.fipd.interieur.gouv.fr/149.202.161.196","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","subventions.fipd.interieur.gouv.fr/149.202.161.196","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","subventions.fipd.interieur.gouv.fr/149.202.161.196","443","OK","not offered","","CWE-327"
"cipherlist_LOW","subventions.fipd.interieur.gouv.fr/149.202.161.196","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","subventions.fipd.interieur.gouv.fr/149.202.161.196","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","subventions.fipd.interieur.gouv.fr/149.202.161.196","443","INFO","not offered","","CWE-310"
"cipherlist_GOOD","subventions.fipd.interieur.gouv.fr/149.202.161.196","443","INFO","not offered","",""
"cipherlist_STRONG","subventions.fipd.interieur.gouv.fr/149.202.161.196","443","OK","offered","",""
"cipherorder_TLSv1_2","subventions.fipd.interieur.gouv.fr/149.202.161.196","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","subventions.fipd.interieur.gouv.fr/149.202.161.196","443","OK","server","",""
"protocol_negotiated","subventions.fipd.interieur.gouv.fr/149.202.161.196","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","subventions.fipd.interieur.gouv.fr/149.202.161.196","443","OK","ECDHE-RSA-AES128-GCM-SHA256, 256 bit ECDH (P-256)","",""
"FS","subventions.fipd.interieur.gouv.fr/149.202.161.196","443","OK","offered","",""
"FS_ciphers","subventions.fipd.interieur.gouv.fr/149.202.161.196","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","subventions.fipd.interieur.gouv.fr/149.202.161.196","443","OK","prime256v1","",""
"TLS_extensions","subventions.fipd.interieur.gouv.fr/149.202.161.196","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'extended master secret/#23'","",""
"TLS_session_ticket","subventions.fipd.interieur.gouv.fr/149.202.161.196","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","subventions.fipd.interieur.gouv.fr/149.202.161.196","443","INFO","yes","",""
"sessionresumption_ticket","subventions.fipd.interieur.gouv.fr/149.202.161.196","443","INFO","not supported","",""
"sessionresumption_ID","subventions.fipd.interieur.gouv.fr/149.202.161.196","443","INFO","supported","",""
"TLS_timestamp","subventions.fipd.interieur.gouv.fr/149.202.161.196","443","INFO","random","",""
"cert_compression","subventions.fipd.interieur.gouv.fr/149.202.161.196","443","INFO","N/A","",""
"clientAuth","subventions.fipd.interieur.gouv.fr/149.202.161.196","443","INFO","none","",""
"cert_numbers","subventions.fipd.interieur.gouv.fr/149.202.161.196","443","INFO","1","",""
"cert_signatureAlgorithm","subventions.fipd.interieur.gouv.fr/149.202.161.196","443","OK","SHA256 with RSA","",""
"cert_keySize","subventions.fipd.interieur.gouv.fr/149.202.161.196","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","subventions.fipd.interieur.gouv.fr/149.202.161.196","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","subventions.fipd.interieur.gouv.fr/149.202.161.196","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","subventions.fipd.interieur.gouv.fr/149.202.161.196","443","INFO","15E601835180BE747106B601D190E146","",""
"cert_serialNumberLen","subventions.fipd.interieur.gouv.fr/149.202.161.196","443","INFO","16","",""
"cert_fingerprintSHA1","subventions.fipd.interieur.gouv.fr/149.202.161.196","443","INFO","9814B264AAE9B4BDEB69155A1C46ED2E8D44FF9C","",""
"cert_fingerprintSHA256","subventions.fipd.interieur.gouv.fr/149.202.161.196","443","INFO","9039A4C3AFAFF6F8A5F3ACD61D032FEC0C53B1F276157C0DEBE01E19418BDF6C","",""
