"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","subventions.ha-py.fr/141.94.67.131","443","INFO","HTTP","",""
"pre_128cipher","subventions.ha-py.fr/141.94.67.131","443","INFO","No 128 cipher limit bug","",""
"SSLv2","subventions.ha-py.fr/141.94.67.131","443","OK","not offered","",""
"SSLv3","subventions.ha-py.fr/141.94.67.131","443","OK","not offered","",""
"TLS1","subventions.ha-py.fr/141.94.67.131","443","INFO","not offered","",""
"TLS1_1","subventions.ha-py.fr/141.94.67.131","443","INFO","not offered","",""
"TLS1_2","subventions.ha-py.fr/141.94.67.131","443","OK","offered","",""
"TLS1_3","subventions.ha-py.fr/141.94.67.131","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","subventions.ha-py.fr/141.94.67.131","443","INFO","not offered","",""
"cipherlist_NULL","subventions.ha-py.fr/141.94.67.131","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","subventions.ha-py.fr/141.94.67.131","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","subventions.ha-py.fr/141.94.67.131","443","OK","not offered","","CWE-327"
"cipherlist_LOW","subventions.ha-py.fr/141.94.67.131","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","subventions.ha-py.fr/141.94.67.131","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","subventions.ha-py.fr/141.94.67.131","443","INFO","not offered","","CWE-310"
"cipherlist_GOOD","subventions.ha-py.fr/141.94.67.131","443","INFO","not offered","",""
"cipherlist_STRONG","subventions.ha-py.fr/141.94.67.131","443","OK","offered","",""
"cipherorder_TLSv1_2","subventions.ha-py.fr/141.94.67.131","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","subventions.ha-py.fr/141.94.67.131","443","OK","server","",""
"protocol_negotiated","subventions.ha-py.fr/141.94.67.131","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","subventions.ha-py.fr/141.94.67.131","443","OK","ECDHE-RSA-AES128-GCM-SHA256, 256 bit ECDH (P-256)","",""
"FS","subventions.ha-py.fr/141.94.67.131","443","OK","offered","",""
